software,main_version,sub_version,listening,est_unreachable,total_count,percent
Bitcoin Core,v0.11,v0.11.1,0,7,7,0.006336504603017987
Bitcoin Core,v0.15,v0.15.2,1,6,7,0.006336504603017987
Bitcoin Core,v0.12,v0.12.0,0,6,6,0.005431289659729703
Bitcoin Core,v0.14,v0.14.99,0,6,6,0.005431289659729703
Bitcoin Core,v0.16,v0.16.99,0,6,6,0.005431289659729703
Bitcoin Core,v23,v23.2.0,0,6,6,0.005431289659729703
Bitcoin Core,v0.8,v0.8.2,0,5,5,0.004526074716441419
Bitcoin Knots,v0.15,v0.15.1,0,5,5,0.004526074716441419
Bitcoin Core,v0.10,v0.10.2,0,5,5,0.004526074716441419
Bitcoin Core,v21,v21.99.0,0,5,5,0.004526074716441419
Bitcoin Core,v0.8,v0.8.0,0,5,5,0.004526074716441419
Bitcoin Core,v0.7,v0.7.0,0,5,5,0.004526074716441419
Bitcoin Core,v0.8,v0.8.3,0,4,4,0.0036208597731531354
Bitcoin Knots,v26,v26.1.0,0,4,4,0.0036208597731531354
Bitcoin Knots,v0.14,v0.14.2,0,4,4,0.0036208597731531354
Bitcoin Knots,v0.15,v0.15.0,0,4,4,0.0036208597731531354
Bitcoin Knots,v23,v23.0.0,0,4,4,0.0036208597731531354
btcsuite,v25,v25.0.0,0,4,4,0.0036208597731531354
BIP110,unknown,unknown,2,2,4,0.0036208597731531354
Bitcoin Core,v0.19,v0.19.99,1,3,4,0.0036208597731531354
Bitcoin Core,v31,v31.99.0,3,1,4,0.0036208597731531354
Bitcoin Core,v0.10,v0.10.1,0,4,4,0.0036208597731531354
Bitcoin Core,v0.9,v0.9.2,0,4,4,0.0036208597731531354
Bitcoin Core,v0.9,v0.9.3,0,4,4,0.0036208597731531354
Bitcoin Core,v22,v22.99.0,0,4,4,0.0036208597731531354
Bitcoin Core,v1,v1.0.5,0,4,4,0.0036208597731531354
Bitcoin Knots,v0.14,v0.14.1,0,3,3,0.0027156448298648514
Bitcoin Knots,unknown,unknown,0,3,3,0.0027156448298648514
Bitcoin Core,v0.17,v0.17.2,2,1,3,0.0027156448298648514
Bitcoin Core,v0.14,v0.14.3,0,2,2,0.0018104298865765677
Bitcoin Core,v0.0,v0.0.126,1,1,2,0.0018104298865765677
Bitcoin Core,v1,v1.0.0,2,0,2,0.0018104298865765677
Bitcoin Core,v28,v28.1,0,2,2,0.0018104298865765677
Bitcoin Knots,v25,v25.1.0,0,2,2,0.0018104298865765677
Bitcoin Core,v31,v31.0.0,0,2,2,0.0018104298865765677
Bitcoin Core,v0.9,v0.9.0,0,2,2,0.0018104298865765677
Bitcoin Unlimited,unknown,unknown,0,1,1,0.0009052149432882839
other,v30,v30.99.0,1,0,1,0.0009052149432882839
Bitcoin Core,v23,v23.0,0,1,1,0.0009052149432882839
Bitcoin Knots,v22,v22.0.0,0,1,1,0.0009052149432882839
Bitcoin Knots,v21,v21.2.0,0,1,1,0.0009052149432882839
Bitcoin Knots,v0.12,v0.12.1,0,1,1,0.0009052149432882839
Bitcoin Core,v27,v27.1,0,1,1,0.0009052149432882839
Bitcoin Core,unknown,unknown,0,1,1,0.0009052149432882839
Bitcoin Core,v0.10,v0.10.4,0,1,1,0.0009052149432882839
Bitcoin Core,v0.21,v0.21.99,0,1,1,0.0009052149432882839
Bitcoin Core,v0.18,v0.18.99,0,1,1,0.0009052149432882839
